KODE_DESA,DESA,n_a,y_a,direct_est_sampled,fh_est,bayes_mean,bayes_p025,bayes_p975
4,[004] LABANAN MAKMUR,19,4,0.21052631578947367,0.2613584211322441,0.21246605395821974,0.10352238938506027,0.3499226105292216
4,[004] MARATUA TELUK HARAPAN,20,5,0.25,0.27386651785344446,0.23129652187433997,0.1173953280531155,0.37403358799605146
4,[004] TANJUNG PEREPAT,21,8,0.38095238095238093,0.32435285643612166,0.2937501235093347,0.16473833797942192,0.457403653135973
4,[004] TANJUNG REDEB,80,19,0.2375,0.2528112854654734,0.232083382002996,0.1579164921692652,0.3175225783704933
5,BIATAN LEMPAKE,0,0,,0.2810573430640618,0.2636579503705106,0.0071665279433349455,0.8655964443654016
5,BIRANG,0,0,,0.2810573430640618,0.2404721007018714,0.07055822474207896,0.5152461449166104
5,BUGIS,0,0,,0.2810573430640618,0.2568954957232294,7.636730522910337e-05,0.9462099117273071
5,GIRING-GIRING,0,0,,0.2810573430640618,0.2521639875478947,0.03445763518363087,0.6528046538406437
5,HARAPAN MAJU,0,0,,0.2810573430640618,0.2398004516031025,0.05493494065036438,0.5168402524466591
5,KASAI,0,0,,0.2810573430640618,0.27835794526760177,0.007731526230338936,0.8165146555611382
5,LABANAN JAYA,0,0,,0.2810573430640618,0.2530535608275529,0.001651069064715737,0.8781405765313236
5,LOBANG KELATAK,0,0,,0.2810573430640618,0.24775037266247285,0.04272605405404577,0.6210754675254863
5,LONG AYAN,0,0,,0.2810573430640618,0.258251529387169,0.03481591291127704,0.6499288679611459
5,MERASA,0,0,,0.2810573430640618,0.24386374083585646,0.0437936527334232,0.5813218070346975
5,PEGAT BUKUR,0,0,,0.2810573430640618,0.24596034414835335,0.05137719630675835,0.5519988465563879
5,[005] BIATAN LEMPAKE,24,4,0.16666666666666666,0.2420821988174357,0.18994410919123683,0.09031855474667433,0.3105574325087003
5,[005] BUGIS,41,6,0.14634146341463414,0.2175518329647935,0.17374104324645187,0.08858195649237127,0.2721619886932664
5,[005] MERASA,24,11,0.4583333333333333,0.36150726980745207,0.3412098436702728,0.21107248168328116,0.5031827029324758
6,AMPEN MEDANG,0,0,,0.2810573430640618,0.2486913626844298,0.042055833885108286,0.6222507001046127
6,BIATAN ULU,0,0,,0.2810573430640618,0.25539103852792067,0.04130129116996066,0.6190358887621674
6,GUNUNG PANJANG,0,0,,0.2810573430640618,0.22839860114835517,8.447797939919965e-05,0.9255988423267612
6,GUNUNG TABUR,0,0,,0.2810573430640618,0.23609711534388206,0.005392803139736333,0.7814934054350293
6,MUARA LESAN,0,0,,0.2810573430640618,0.25423580298738035,0.04013814997285678,0.62143149062569
6,PUNAN MALINAU,0,0,,0.2810573430640618,0.2405627861123474,0.05785111990622752,0.5085156814308768
6,RANTAU PANJANG,0,0,,0.2810573430640618,0.24265892177172804,0.06530277022249073,0.5338069339074009
6,TABALAR ULU,0,0,,0.2810573430640618,0.24123822677723136,0.0606743646673644,0.5387950573721042
6,TELUK SULAIMAN,0,0,,0.2810573430640618,0.24558539731333745,0.05961756733348414,0.548244716220375
6,TUMBIT MELAYU,0,0,,0.2810573430640618,0.25014714592121845,0.033501548067567104,0.6675354104197921
6,TUNGGAL BUMI,0,0,,0.2810573430640618,0.23915741420472778,0.05825973032256364,0.5272003709788232
6,[006] GUNUNG PANJANG,82,15,0.18292682926829268,0.21628519841128163,0.19128169413331825,0.12014324986771872,0.2664190802962102
6,[006] GUNUNG TABUR,67,19,0.2835820895522388,0.28490666516222923,0.26486597067826334,0.18449874067195224,0.36500117851374947
6,[006] TABALAR ULU,17,6,0.35294117647058826,0.3097116257524069,0.2729401404268715,0.14790958023769754,0.43199016062039547
6,[006] TELUK SULAIMAN,22,4,0.18181818181818182,0.2491987481619465,0.19740280216686798,0.102644455477601,0.3116697824176522
6,[006] TUMBIT MELAYU,21,3,0.14285714285714285,0.23930238916130034,0.18165312270991668,0.08585857664621305,0.30288823571511714
6,[006] TUNGGAL BUMI,42,3,0.07142857142857142,0.19481493031650904,0.13202343437518235,0.05939249833992236,0.21759444840787745
7,BALI KUKUP,0,0,,0.2810573430640618,0.24280950990114433,0.04924614438115324,0.5702047928708304
7,DUMARING,0,0,,0.2810573430640618,0.23571608763195617,0.05983826252600502,0.5165127458740847
7,GUNUNG SARI,0,0,,0.2810573430640618,0.2667002885720956,0.01831033960507951,0.7772028293476735
7,KARANG AMBUN,0,0,,0.2810573430640618,0.23936147185170834,0.0008433510122562647,0.9005812744501318
7,KARANGAN,0,0,,0.2810573430640618,0.2506198406078666,0.032694580888049926,0.6326103581316523
7,LESAN DAYAK,0,0,,0.2810573430640618,0.24200510173166379,0.05869860310278735,0.5544717532215026
7,MALUANG,0,0,,0.2810573430640618,0.2355030717653566,0.04881698016490433,0.5386618918372429
7,SAMBALIUNG,0,0,,0.2810573430640618,0.22057402051627095,0.0005764171095829926,0.8570725580741235
7,TUBAAN,0,0,,0.2810573430640618,0.24786862377401148,0.01422762630996551,0.7197644092683684
7,[007] GUNUNG SARI,19,7,0.3684210526315789,0.31729469934816185,0.28366274456622514,0.16124460603524657,0.44126872608122925
7,[007] KARANG AMBUN,74,19,0.25675675675675674,0.2665403039533024,0.2464529526246323,0.1642738957462887,0.3377296382363067
7,[007] MALUANG,25,8,0.32,0.30146556711081574,0.2668712373834434,0.15396463429246215,0.40895687611723186
7,[007] SAMBALIUNG,50,14,0.28,0.2830327239784255,0.25590296793858414,0.164760418491401,0.3679779795021752
